date,channel,audience_segment,spend,impressions,clicks,conversions,cac
2023-10-01,Meta,25-34,$1240.00,82667,1157,48,$25.83
2023-10-01,Meta,35-44,$950.00,52778,739,34,$27.94
2023-10-01,Google,Search_Brand,$450.00,12857,1543,45,$10.00
2023-10-01,TikTok,GenZ_Pet_Owners,$600.00,120000,1800,20,$30.00
2023-10-01,Affiliates,Pet_Influencers,$300.00,0,850,12,$25.00
2023-10-10,Meta,25-34,$1300.00,86667,1213,51,$25.49
2023-10-10,Meta,35-44,$980.00,54444,762,35,$28.00
2023-10-10,Google,Search_NonBrand,$1100.00,44000,880,22,$50.00
2023-10-10,TikTok,GenZ_Pet_Owners,$650.00,130000,1950,21,$30.95
2023-10-20,Meta,25-34,$1280.00,85333,1195,50,$25.60
2023-10-20,Meta,35-44,$960.00,53333,747,34,$28.24
2023-10-20,Google,Search_Brand,$480.00,13714,1646,47,$10.21
2023-10-20,TikTok,GenZ_Pet_Owners,$620.00,124000,1860,20,$31.00
2023-11-01,Meta,25-34,$1350.00,90000,1260,53,$25.47
2023-11-01,Meta,35-44,$990.00,55000,770,35,$28.29
2023-11-01,Google,Search_Brand,$500.00,14286,1714,49,$10.20
2023-11-01,TikTok,GenZ_Pet_Owners,$700.00,140000,2100,22,$31.82
2023-11-10,Meta,25-34,$1400.00,93333,1307,55,$25.45
2023-11-10,Meta,35-44,$1050.00,58333,817,37,$28.38
2023-11-10,Google,Search_NonBrand,$1150.00,46000,920,23,$50.00
2023-11-11,Meta,25-34,$1650.00,91667,1100,38,$43.42
2023-11-11,Meta,35-44,$1050.00,58333,817,37,$28.38
2023-11-11,Google,Search_Brand,$520.00,14857,1783,50,$10.40
2023-11-11,TikTok,GenZ_Pet_Owners,$720.00,144000,2160,23,$31.30
2023-11-11,Affiliates,Pet_Influencers,$350.00,0,990,14,$25.00
2023-11-15,Meta,25-34,$1700.00,94444,1133,37,$45.95
2023-11-15,Meta,35-44,$1080.00,60000,840,38,$28.42
2023-11-15,Google,Search_Brand,$530.00,15143,1817,51,$10.39
2023-11-15,TikTok,GenZ_Pet_Owners,$750.00,150000,2250,23,$32.61
2023-11-20,Meta,25-34,$1750.00,92105,1105,35,$50.00
2023-11-20,Meta,35-44,$1100.00,61111,856,39,$28.21
2023-11-20,Google,Search_NonBrand,$1200.00,48000,960,24,$50.00
2023-11-25,Meta,25-34,$1800.00,94737,1137,34,$52.94
2023-11-25,Meta,35-44,$1150.00,63889,894,41,$28.05
2023-11-25,Google,Search_Brand,$550.00,15714,1886,52,$10.58
2023-11-30,Meta,25-34,$1850.00,97368,1168,33,$56.06
2023-11-30,Meta,35-44,$1200.00,66667,933,42,$28.57
2023-11-30,Google,Search_NonBrand,$1300.00,52000,1040,26,$50.00
2023-11-30,TikTok,GenZ_Pet_Owners,$800.00,160000,2400,25,$32.00
2023-11-30,Affiliates,Pet_Influencers,$400.00,0,1130,16,$25.00
2023-12-05,Meta,25-34,$1900.00,100000,1200,32,$59.38
2023-12-05,Meta,35-44,$1250.00,69444,972,44,$28.41
2023-12-05,Google,Search_Brand,$580.00,16571,1989,55,$10.55
2023-12-15,Meta,25-34,$2000.00,105263,1263,33,$60.61
2023-12-15,Meta,35-44,$1300.00,72222,1011,46,$28.26
2023-12-15,Google,Search_NonBrand,$1400.00,56000,1120,28,$50.00
2023-12-25,Meta,25-34,$2100.00,110526,1326,34,$61.76
2023-12-25,Meta,35-44,$1350.00,75000,1050,48,$28.13
2023-12-25,Google,Search_Brand,$600.00,17143,2057,57,$10.53
2023-12-31,Meta,25-34,$2200.00,115789,1389,35,$62.86
2023-12-31,Meta,35-44,$1400.00,77778,1089,50,$28.00
2023-12-31,Google,Search_NonBrand,$1500.00,60000,1200,30,$50.00
2023-12-31,TikTok,GenZ_Pet_Owners,$900.00,180000,2700,28,$32.14
2023-12-31,Affiliates,Pet_Influencers,$500.00,0,1415,20,$25.00
