city,date,attendees,ticket_revenue,sponsor_revenue
Austin,2022-01-15,450,15750,4500
Nashville,2022-01-22,380,13300,3500
Austin,2022-02-12,485,16975,4500
Nashville,2022-02-19,410,14350,3800
Austin,2022-03-12,520,18200,5000
Nashville,2022-03-26,440,15400,4200
Austin,2022-04-09,510,17850,5000
Nashville,2022-04-23,465,16275,4200
Austin,2022-05-14,540,21600,5500
Nashville,2022-05-28,490,19600,4800
Austin,2022-06-11,565,22600,6000
Nashville,2022-06-25,515,20600,5200
Austin,2022-07-09,530,21200,6000
Nashville,2022-07-23,480,19200,5200
Austin,2022-08-13,555,22200,6000
Nashville,2022-08-27,510,20400,5200
Austin,2022-09-10,590,23600,7000
Nashville,2022-09-24,540,21600,6500
Austin,2022-10-15,620,24800,7500
Nashville,2022-10-29,580,23200,6800
Austin,2022-11-12,605,24200,7500
Nashville,2022-11-19,560,22400,6800
Austin,2022-12-10,650,29250,8500
Nashville,2022-12-17,610,27450,7800
Austin,2023-01-14,580,26100,7500
Nashville,2023-01-28,540,24300,7000
Austin,2023-02-11,610,27450,7500
Nashville,2023-02-25,565,25425,7000
Austin,2023-03-11,640,28800,8500
Nashville,2023-03-25,590,26550,7800
Austin,2023-04-08,660,29700,8500
Nashville,2023-04-22,615,27675,7800
Austin,2023-05-13,710,31950,9500
Nashville,2023-05-27,650,29250,8800
Austin,2023-06-10,740,33300,10500
Nashville,2023-06-24,680,30600,9500
Austin,2023-07-08,725,32625,10500
Nashville,2023-07-22,665,29925,9500
Austin,2023-08-12,750,33750,11000
Nashville,2023-08-26,690,31050,10000
Austin,2023-09-09,790,35550,12000
Nashville,2023-09-23,730,32850,11000
Austin,2023-10-14,840,37800,12500
Nashville,2023-10-28,780,35100,11500
Austin,2023-11-11,810,36450,12500
Nashville,2023-11-25,750,33750,11500
Austin,2023-12-09,920,46000,15000
Nashville,2023-12-16,860,43000,14000
