ticket_id,customer,subject,body,priority,received_at
TICK-9082,Precision Gears Inc.,API Auth Failure,"Hi Maya and team, our automated pull from the Harbor dashboard started returning 401 errors at 3 AM EST. We haven't changed our keys. Can you check if there was a platform update?",High,2023-10-26T04:12:00Z
TICK-9083,Loomis Textiles,Missing shipment data (PO #4490),"The dashboard is showing 'In Transit' for our latest raw material batch from Vietnam, but the carrier portal says it cleared customs yesterday. Why the lag?",Medium,2023-10-26T08:30:00Z
TICK-9084,Oak Ridge Manufacturing,Adding new users,"We just onboarded 4 new floor managers. I'm trying to add them to the 'Viewer' role but the invite buttons are greyed out. Is there a seat limit on our current plan?",Low,2023-10-26T09:15:00Z
TICK-9085,Starlight Electronics,Request for custom report,"We need a CSV export that specifically breaks down lead times by port of entry, not just by region. Is this something your team can build for us by Monday?",Medium,2023-10-26T10:05:00Z
TICK-9086,Global Auto Parts,Dashboard Loading Slow,"Is Harbor down? The main analytics page is taking over 30 seconds to load for all our users in the Detroit office. Other sites are working fine.",High,2023-10-26T11:45:00Z
TICK-9087,Riverbend Furnishings,Billing Question,"I just saw the invoice for October. There's a 'Data Overage' fee of $450. I don't recall being notified we were approaching our limit. Can you explain the calculation?",Medium,2023-10-26T13:20:00Z
TICK-9088,Summit Medical,EDI Integration,"We are switching our ERP to NetSuite. Does Harbor Analytics have a native connector, or do we need to rebuild the integration from scratch?",Low,2023-10-26T14:50:00Z
TICK-9089,North Star Logistics,Incorrect ETA on Route 4,"Your system is predicting a 4-day delay for the Evergreen shipment, but the weather has cleared. Our internal team thinks it'll be on time. Where is your model pulling the delay data from?",Medium,2023-10-26T15:10:00Z
TICK-9090,Bayside Canners,Password Reset Issue,"One of our admins is locked out. They aren't receiving the password reset email. Checked spam already. Can you manually trigger a reset?",Low,2023-10-26T16:05:00Z
TICK-9091,Apex Foundries,Urgent: Data Discrepancy,"Maya, looking at the Q3 summary Harbor generated vs. our internal spreadsheets. There's a 4% variance in 'Cost of Delay' metrics. We have a board meeting tomorrow and need to know which number is right.",High,2023-10-26T16:45:00Z
