date,location,daily_revenue,transactions,avg_ticket,drink_units,food_units,retail_units
2022-07-01,1-Downtown,3450.50,285,12.11,310,142,12
2022-07-01,2-Northgate,2980.00,240,12.42,260,118,8
2022-07-01,3-Fremont,2650.25,215,12.33,235,102,5
2022-07-01,4-CapitolHill,4120.00,320,12.88,350,185,18
2022-08-01,1-Downtown,3520.00,290,12.14,320,148,10
2022-08-01,2-Northgate,3010.50,245,12.29,270,120,6
2022-08-01,3-Fremont,2710.00,220,12.32,240,110,4
2022-08-01,4-CapitolHill,4250.75,335,12.69,365,190,22
2022-09-01,1-Downtown,3380.25,280,12.07,305,135,11
2022-09-01,2-Northgate,2850.00,230,12.39,255,110,7
2022-09-01,3-Fremont,2580.50,210,12.29,230,105,3
2022-09-01,4-CapitolHill,3980.00,310,12.84,340,175,15
2022-10-01,1-Downtown,3610.50,295,12.24,325,155,14
2022-10-01,2-Northgate,3100.25,250,12.40,275,125,9
2022-10-01,3-Fremont,2820.00,228,12.37,250,115,6
2022-10-01,4-CapitolHill,4400.50,345,12.76,380,205,25
2022-11-01,1-Downtown,3405.00,282,12.07,312,140,12
2022-11-01,2-Northgate,2920.00,238,12.27,262,115,8
2022-11-01,3-Fremont,2690.50,218,12.34,240,108,5
2022-11-01,4-CapitolHill,4150.25,325,12.77,355,188,20
2022-12-01,1-Downtown,3850.00,315,12.22,345,170,35
2022-12-01,2-Northgate,3340.50,270,12.37,295,140,28
2022-12-01,3-Fremont,3050.25,245,12.45,270,130,22
2022-12-01,4-CapitolHill,4680.00,360,13.00,395,220,45
2023-01-01,1-Downtown,3210.00,270,11.89,300,125,8
2023-01-01,2-Northgate,2750.50,225,12.22,250,105,5
2023-01-01,3-Fremont,2510.00,205,12.24,225,98,2
2023-01-01,4-CapitolHill,3820.75,305,12.53,335,165,12
2023-02-01,1-Downtown,3350.50,280,11.97,310,138,10
2023-02-01,2-Northgate,2880.00,235,12.26,260,112,6
2023-02-01,3-Fremont,2620.25,212,12.36,232,104,4
2023-02-01,4-CapitolHill,3990.50,315,12.67,345,180,15
2023-03-01,1-Downtown,3580.00,295,12.14,325,150,12
2023-03-01,2-Northgate,3050.25,248,12.30,272,122,8
2023-03-01,3-Fremont,2780.50,225,12.36,245,112,5
2023-03-01,4-CapitolHill,4310.00,340,12.68,375,195,20
2023-04-01,1-Downtown,3620.50,298,12.15,330,152,15
2023-04-01,2-Northgate,3120.00,252,12.38,278,128,10
2023-04-01,3-Fremont,2150.00,235,9.15,245,18,2
2023-04-01,4-CapitolHill,4450.75,350,12.72,385,210,24
2023-05-01,1-Downtown,3750.00,305,12.30,340,165,18
2023-05-01,2-Northgate,3200.50,260,12.31,285,135,12
2023-05-01,3-Fremont,2210.25,242,9.13,255,20,3
2023-05-01,4-CapitolHill,4580.00,360,12.72,395,225,28
2023-06-01,1-Downtown,3820.50,312,12.25,348,172,20
2023-06-01,2-Northgate,3280.00,265,12.38,292,140,14
2023-06-01,3-Fremont,2180.00,240,9.08,252,15,4
2023-06-01,4-CapitolHill,4720.50,370,12.76,405,240,30
2023-07-01,1-Downtown,3900.00,318,12.26,355,180,22
2023-07-01,2-Northgate,3350.50,272,12.32,300,145,16
2023-07-01,3-Fremont,2240.25,248,9.03,260,12,2
2023-07-01,4-CapitolHill,4850.00,380,12.76,420,250,35
2023-08-01,1-Downtown,3880.50,315,12.32,352,175,20
2023-08-01,2-Northgate,3310.00,268,12.35,295,142,15
2023-08-01,3-Fremont,2200.50,245,8.98,258,10,1
2023-08-01,4-CapitolHill,4800.25,375,12.80,415,245,32
2023-09-01,1-Downtown,3650.00,298,12.25,330,155,15
2023-09-01,2-Northgate,3150.50,255,12.35,280,130,10
2023-09-01,3-Fremont,2120.00,238,8.91,248,8,2
2023-09-01,4-CapitolHill,4520.00,355,12.73,390,215,25
2023-10-01,1-Downtown,3780.50,308,12.27,342,168,18
2023-10-01,2-Northgate,3220.00,262,12.29,288,138,12
2023-10-01,3-Fremont,2180.25,244,8.94,255,12,3
2023-10-01,4-CapitolHill,4650.50,365,12.74,402,230,28
2023-11-01,1-Downtown,3600.00,295,12.20,328,155,15
2023-11-01,2-Northgate,3080.50,250,12.32,275,125,10
2023-11-01,3-Fremont,2050.00,230,8.91,240,10,2
2023-11-01,4-CapitolHill,4480.00,352,12.73,388,210,22
2023-12-01,1-Downtown,4050.50,325,12.46,365,185,40
2023-12-01,2-Northgate,3520.00,285,12.35,315,155,32
2023-12-01,3-Fremont,2350.25,262,8.97,275,15,5
2023-12-01,4-CapitolHill,4980.75,390,12.77,430,265,50
